Use Group,Use Header,Use Name,Use Name Full,Use NAICS Code,NAICS Notes,NAICS to subtract,Zoning District,Permitted Value,Not permitted,Permitted,Permitted with limitations,Permitted with limitations*,Special Permit,Size Restrictions,Additional Conditions,Open Use Allowances,Is Allowed,Limitations
III(B),Other Institutions and Facilities,Non-commercial clubs without sleeping accomodations,Non-commercial clubs without sleeping accomodations,,,,R1,○,False,False,,,https://zr.planning.nyc.gov/article-ii/chapter-2#22-134,,,,"Yes, by special permit",
III(B),Other Institutions and Facilities,Non-commercial recreation centers,Non-commercial recreation centers,,,,R1,●,False,True,,,,,,,Yes,
III(B),Other Institutions and Facilities,"Philanthropic or non-profit institutions without sleeping accommodations, excluding ambulatory diagnostic or treatment health care facilities","Philanthropic or non-profit institutions without sleeping accommodations, excluding ambulatory diagnostic or treatment health care facilities",,,,R1,●S,False,True,,,,https://zr.planning.nyc.gov/article-ii/chapter-2#22-132,,,"Yes, subject to size restrictions",
III(B),Other Institutions and Facilities,Welfare centers,Welfare centers,,,,R1,○,False,False,,,https://zr.planning.nyc.gov/article-ii/chapter-2#22-134,,,,"Yes, by special permit",
IV(A),Public Service Buildings,Court houses,Court houses,,,,R1,–,True,False,,,,,,,No,
IV(A),Public Service Buildings,Fire or police stations,Fire or police stations,,,,R1,○,False,False,,,https://zr.planning.nyc.gov/article-ii/chapter-2#22-144,,,,"Yes, by special permit",
IV(A),Other Facilities,Prisons,Prisons,,,,R1,–,True,False,,,,,,,No,
IV(B),Communication Infrastructure,"Radio or television towers, non-#accessory#","Radio or television towers, non-#accessory#",,,,R1,○,False,False,,,https://zr.planning.nyc.gov/article-ii/chapter-2#22-144,,,,"Yes, by special permit",
IV(B),Communication Infrastructure,Telephone exchanges or other communications equipment structures,Telephone exchanges or other communications equipment structures,,,,R1,○,False,False,,,https://zr.planning.nyc.gov/article-ii/chapter-2#22-144,,,,"Yes, by special permit",
IV(B),Electric and Gas Infrastructure,Electric power or steam generating plants,Electric power or steam generating plants,,,,R1,–,True,False,,,,,,,No,
IV(B),Electric and Gas Infrastructure,Electric utility substations,Electric utility substations,,,,R1,○,False,False,,,https://zr.planning.nyc.gov/article-ii/chapter-2#22-144,,,,"Yes, by special permit",
IV(B),Electric and Gas Infrastructure,Gas utility substations,Gas utility substations,,,,R1,○,False,False,,,https://zr.planning.nyc.gov/article-ii/chapter-2#22-144,,,,"Yes, by special permit",
IV(B),Electric and Gas Infrastructure,Public utility stations for oil or gas metering or regulating,Public utility stations for oil or gas metering or regulating,,,,R1,○,False,False,,,https://zr.planning.nyc.gov/article-ii/chapter-2#22-144,,,,"Yes, by special permit",
IV(B),Electric and Gas Infrastructure,"Terminal facilities at river crossings for access to electric, gas, or steam lines","Terminal facilities at river crossings for access to electric, gas, or steam lines",,,,R1,○,False,False,,,https://zr.planning.nyc.gov/article-ii/chapter-2#22-144,,,,"Yes, by special permit",
IV(B),"Sewage, Storm Water and Waste Infrastructure",Composting,Composting,,,,R1,–,True,False,,,,,,,No,
IV(B),"Sewage, Storm Water and Waste Infrastructure","Dumps, recycling or material recovery facilities, marine transfer stations for garbage or slag piles","Dumps, recycling or material recovery facilities, marine transfer stations for garbage or slag piles",,,,R1,–,True,False,,,,,,,No,
IV(B),"Sewage, Storm Water and Waste Infrastructure","Incineration or reduction of garbage, offal or dead animals","Incineration or reduction of garbage, offal or dead animals",,,,R1,–,True,False,,,,,,,No,
IV(B),"Sewage, Storm Water and Waste Infrastructure",Radioactive waste disposal services involving the handling or storage of radioactive waste,Radioactive waste disposal services involving the handling or storage of radioactive waste,,,,R1,–,True,False,,,,,,,No,
IV(B),"Sewage, Storm Water and Waste Infrastructure",Sewage disposal plants,Sewage disposal plants,,,,R1,○,False,False,,,https://zr.planning.nyc.gov/article-ii/chapter-2#22-144,,,,"Yes, by special permit",
IV(B),"Sewage, Storm Water and Waste Infrastructure",Water or sewage pumping stations,Water or sewage pumping stations,,,,R1,○,False,False,,,https://zr.planning.nyc.gov/article-ii/chapter-2#22-144,,,,"Yes, by special permit",
IV(B),Transportation Infrastructure,Airports,Airports,,,,R1,–,True,False,,,,,,,No,
IV(B),Transportation Infrastructure,Boat launching facilities for non-commercial pleasure boats,Boat launching facilities for non-commercial pleasure boats,,,,R1,–,True,False,,,,,,,No,
IV(B),Transportation Infrastructure,Bus stations,Bus stations,,,,R1,–,True,False,,,,,,,No,
IV(B),Transportation Infrastructure,Docks,Docks,,,,R1,–,True,False,,,,,,,No,
IV(B),Transportation Infrastructure,"Freight terminals, yards or appurtenances, or facilities or services used or required in railroad operations, but not including passenger stations","Freight terminals, yards or appurtenances, or facilities or services used or required in railroad operations, but not including passenger stations",,,,R1,–,True,False,,,,,,,No,
IV(B),Transportation Infrastructure,Heliports,Heliports,,,,R1,–,True,False,,,,,,,No,
IV(B),Transportation Infrastructure,Mooring facilities for non-commercial pleasure boats,Mooring facilities for non-commercial pleasure boats,,,,R1,–,True,False,,,,,,,No,
IV(B),Transportation Infrastructure,Public transit or railroad electric substations,Public transit or railroad electric substations,,,,R1,○,False,False,,,https://zr.planning.nyc.gov/article-ii/chapter-2#22-144,,,,"Yes, by special permit",
IV(B),Transportation Infrastructure,"Public transit yards, including #accessory# motor fuel pumps","Public transit yards, including #accessory# motor fuel pumps",,,,R1,–,True,False,,,,,,,No,
IV(B),Transportation Infrastructure,Railroad or transit rights-of-way,Railroad or transit rights-of-way,,,,R1,●,False,True,,,,,,,Yes,
IV(B),Transportation Infrastructure,Railroad passenger stations,Railroad passenger stations,,,,R1,○,False,False,,,https://zr.planning.nyc.gov/article-ii/chapter-2#22-144,,,,"Yes, by special permit",
IV(B),Transportation Infrastructure,Seaplane bases,Seaplane bases,,,,R1,○,False,False,,,https://zr.planning.nyc.gov/article-ii/chapter-2#22-144,,,,"Yes, by special permit",
IV(B),Transportation Infrastructure,Truck weighing stations,Truck weighing stations,,,,R1,–,True,False,,,,,,,No,
IV(C),Renewable Energy and Green Infrastructure,#Energy infrastructure equipment#,#Energy infrastructure equipment#,,,,R1,●S     P,False,True,,,,https://zr.planning.nyc.gov/article-ii/chapter-2#22-142,https://zr.planning.nyc.gov/article-ii/chapter-2#22-143,,"Yes, subject to size restrictions, subject to additional conditions",
IV(C),Renewable Energy and Green Infrastructure,Public bicycle and micromobility parking,Public bicycle and micromobility parking,,,,R1,–,True,False,,,,,,,No,
IV(C),Renewable Energy and Green Infrastructure,"Recycling, or organic material, receiving","Recycling, or organic material, receiving",,,,R1,–,True,False,,,,,,,No,
V,Transient Accommodations,#Motels#,#Motels#,,,,R1,–,True,False,,,,,,,No,
V,Transient Accommodations,Overnight camps,Overnight camps,,,,R1,○,False,False,,,https://zr.planning.nyc.gov/article-ii/chapter-2#22-15,,,,"Yes, by special permit",
V,Transient Accommodations,#Tourist cabins#,#Tourist cabins#,,,,R1,–,True,False,,,,,,,No,
V,Transient Accommodations,#Transient hotels#,#Transient hotels#,,,,R1,–,True,False,,,,,,,No,
VI Retail,Motor Vehicle and Parts Dealer (441),Automobile dealers (4411),Automobile dealers (4411),4411,,,R1,–,True,False,,,,,,,No,
VI Retail,Motor Vehicle and Parts Dealer (441),Boat dealers (441222),Boat dealers (441222),441222,,,R1,–,True,False,,,,,,,No,
VI Retail,Motor Vehicle and Parts Dealer (441),All other motor vehicle dealers (in 4412),All other motor vehicle dealers (in 4412),4412,4412 minus 441222,441222.0,R1,–,True,False,,,,,,,No,
VI Retail,Motor Vehicle and Parts Dealer (441),"Automotive parts, accessories and tire retailers (4413)","Automotive parts, accessories and tire retailers (4413)",4413,,,R1,–,True,False,,,,,,,No,
VI Retail,Building Material and Garden Equipment and Supplies Dealer (444),"Lumber yards, retail (in 444180)","Lumber yards, retail (in 444180)",444180,444180 (Lumber retailing yards),,R1,–,True,False,,,,,,,No,
VI Retail,Building Material and Garden Equipment and Supplies Dealer (444),All other building material and supplies dealers (in 4441),All other building material and supplies dealers (in 4441),4441,4441 minus 444180,444180.0,R1,–,True,False,,,,,,,No,
VI Retail,Building Material and Garden Equipment and Supplies Dealer (444),Lawn and garden equipment and supplies retailers (4442),Lawn and garden equipment and supplies retailers (4442),4442,,,R1,–,True,False,,,,,,,No,
VI Retail,Food and Beverage Retailers (445),Grocery and convenience retailers (4451),Grocery and convenience retailers (4451),4451,,,R1,–,True,False,,,,,,,No,
VI Retail,Food and Beverage Retailers (445),Specialty food retailers (4452),Specialty food retailers (4452),4452,,,R1,–,True,False,,,,,,,No,
VI Retail,Food and Beverage Retailers (445),"Beer, wine and liquor retailers (4453)","Beer, wine and liquor retailers (4453)",4453,,,R1,–,True,False,,,,,,,No,
VI Retail,"Furniture, Home Furnishings, Electronics, and Appliance Retailers (449)",Furniture and home furnishing retailers (4491),Furniture and home furnishing retailers (4491),4491,,,R1,–,True,False,,,,,,,No,
VI Retail,"Furniture, Home Furnishings, Electronics, and Appliance Retailers (449)",Electronics and appliance retailers (4492),Electronics and appliance retailers (4492),4492,,,R1,–,True,False,,,,,,,No,
VI Retail,General Merchandise Retailers (455),Department stores (4551),Department stores (4551),4551,,,R1,–,True,False,,,,,,,No,
VI Retail,General Merchandise Retailers (455),"Warehouse clubs, supercenters, and other general merchandise retailers (4552)","Warehouse clubs, supercenters, and other general merchandise retailers (4552)",4552,,,R1,–,True,False,,,,,,,No,
VI Retail,Health and Personal Care Retailers (456),Health and personal care retailers (4561),Health and personal care retailers (4561),4561,,,R1,–,True,False,,,,,,,No,
VI Retail,Gasoline Stations and Fuel Dealers (457),#Automotive service stations#,Gasoline stations (4571) - #Automotive service stations#,4571,,,R1,–,True,False,,,,,,,No,
VI Retail,Gasoline Stations and Fuel Dealers (457),Electric vehicle charging and battery swapping,Gasoline stations (4571) - Electric vehicle charging and battery swapping,4571,,,R1,–,True,False,,,,,,,No,
VI Retail,Gasoline Stations and Fuel Dealers (457),Boat fuel sales,Gasoline stations (4571) - Boat fuel sales,4571,,,R1,–,True,False,,,,,,,No,
VI Retail,Gasoline Stations and Fuel Dealers (457),Fuel dealers (4572),Fuel dealers (4572),4572,,,R1,–,True,False,,,,,,,No,
VI Retail,"Clothing, Clothing Accessories, Shoe and Jewelry Retailers (458)",Clothing and clothing accessories retailers (4581),Clothing and clothing accessories retailers (4581),4581,,,R1,–,True,False,,,,,,,No,
VI Retail,"Clothing, Clothing Accessories, Shoe and Jewelry Retailers (458)",Shoe retailers (4582),Shoe retailers (4582),4582,,,R1,–,True,False,,,,,,,No,
VI Retail,"Clothing, Clothing Accessories, Shoe and Jewelry Retailers (458)","Jewelry, luggage, and leather goods retailers (4583)","Jewelry, luggage, and leather goods retailers (4583)",4583,,,R1,–,True,False,,,,,,,No,
VI Retail,"Sporting Goods, Hobby, Musical Instrument, Book and Miscellaneous Retailers (459)",Sporting goods retailers (45911),Sporting goods retailers (45911),45911,,,R1,–,True,False,,,,,,,No,
VI Retail,"Sporting Goods, Hobby, Musical Instrument, Book and Miscellaneous Retailers (459)",All other hobby and musical instrument retailers (in 4591),All other hobby and musical instrument retailers (in 4591),4591,4591 minus 45911,45911.0,R1,–,True,False,,,,,,,No,
VI Retail,"Sporting Goods, Hobby, Musical Instrument, Book and Miscellaneous Retailers (459)",Book retailers,Book retailers and news dealers (4592) - Book retailers,4592,,,R1,–,True,False,,,,,,,No,
VI Retail,"Sporting Goods, Hobby, Musical Instrument, Book and Miscellaneous Retailers (459)",News dealers,Book retailers and news dealers (4592) - News dealers,4592,,,R1,–,True,False,,,,,,,No,
VI Retail,"Sporting Goods, Hobby, Musical Instrument, Book and Miscellaneous Retailers (459)",Florists (4593),Florists (4593),4593,,,R1,–,True,False,,,,,,,No,
VI Retail,"Sporting Goods, Hobby, Musical Instrument, Book and Miscellaneous Retailers (459)","Office supplies, stationary, and gift retailers (4594)","Office supplies, stationary, and gift retailers (4594)",4594,,,R1,–,True,False,,,,,,,No,
VI Retail,"Sporting Goods, Hobby, Musical Instrument, Book and Miscellaneous Retailers (459)",Used merchandise retailers (4595),Used merchandise retailers (4595),4595,,,R1,–,True,False,,,,,,,No,
VI Retail,"Sporting Goods, Hobby, Musical Instrument, Book and Miscellaneous Retailers (459)",Miscellaneous retailers (4599),Miscellaneous retailers (4599),4599,,,R1,–,True,False,,,,,,,No,
VI Services,Postal Service (491) / Couriers and Messengers (492),Postal service (4911),Postal service (4911),4911,,,R1,–,True,False,,,,,,,No,
VI Services,Postal Service (491) / Couriers and Messengers (492),Couriers and express delivery services (4921),Couriers and express delivery services (4921),4921,,,R1,–,True,False,,,,,,,No,
VI Services,Postal Service (491) / Couriers and Messengers (492),Local messengers and local delivery (4922),Local messengers and local delivery (4922),4922,,,R1,–,True,False,,,,,,,No,
VI Services,Telecommunications (517),Wired and wireless telecommunications (5171),Wired and wireless telecommunications (5171),5171,,,R1,–,True,False,,,,,,,No,
VI Services,"Computing Infrastructure Providers, Data Processing, Web Hosting, and Related Services (518)","Computing infrastructure providers, data processing, web hosting, and related services (5182)","Computing infrastructure providers, data processing, web hosting, and related services (5182)",5182,,,R1,–,True,False,,,,,,,No,
VI Services,Credit Intermediation and Related Activities (522),"Savings, loan and other financial services (5221, 5222 and 5223)","Savings, loan and other financial services (5221, 5222 and 5223)","5221, 5222, 5223",5221,,R1,–,True,False,,,,,,,No,
VI Services,Credit Intermediation and Related Activities (522),"Savings, loan and other financial services (5221, 5222 and 5223)","Savings, loan and other financial services (5221, 5222 and 5223)","5221, 5222, 5223",5222,,R1,–,True,False,,,,,,,No,
VI Services,Credit Intermediation and Related Activities (522),"Savings, loan and other financial services (5221, 5222 and 5223)","Savings, loan and other financial services (5221, 5222 and 5223)","5221, 5222, 5223",5223,,R1,–,True,False,,,,,,,No,
VI Services,"Securities, Commodity Contracts, and Other Financial Investments and Related Activities (523)","Securities, commodity contracts, and other financial investments and related activities (5231, 5232 and 5239)","Securities, commodity contracts, and other financial investments and related activities (5231, 5232 and 5239)","5231, 5232, 5239",5231,,R1,–,True,False,,,,,,,No,
VI Services,"Securities, Commodity Contracts, and Other Financial Investments and Related Activities (523)","Securities, commodity contracts, and other financial investments and related activities (5231, 5232 and 5239)","Securities, commodity contracts, and other financial investments and related activities (5231, 5232 and 5239)","5231, 5232, 5239",5232,,R1,–,True,False,,,,,,,No,
VI Services,"Securities, Commodity Contracts, and Other Financial Investments and Related Activities (523)","Securities, commodity contracts, and other financial investments and related activities (5231, 5232 and 5239)","Securities, commodity contracts, and other financial investments and related activities (5231, 5232 and 5239)","5231, 5232, 5239",5239,,R1,–,True,False,,,,,,,No,
VI Services,Insurance Carriers and Related Activities (524),Insurance carriers and related activities (5241 and 5242),Insurance carriers and related activities (5241 and 5242),"5241, 5242",5241,,R1,–,True,False,,,,,,,No,
VI Services,Insurance Carriers and Related Activities (524),Insurance carriers and related activities (5241 and 5242),Insurance carriers and related activities (5241 and 5242),"5241, 5242",5242,,R1,–,True,False,,,,,,,No,
VI Services,"Funds, Trusts and Other Financial Vehicles (525)","Funds, trusts and other financial vehicles (5251 and 5259)","Funds, trusts and other financial vehicles (5251 and 5259)","5251, 5259",5251,,R1,–,True,False,,,,,,,No,
VI Services,"Funds, Trusts and Other Financial Vehicles (525)","Funds, trusts and other financial vehicles (5251 and 5259)","Funds, trusts and other financial vehicles (5251 and 5259)","5251, 5259",5259,,R1,–,True,False,,,,,,,No,
VI Services,Real Estate (531),"Real estate (5311, 5312, and 5313)","Real estate (5311, 5312, and 5313)","5311, 5312, 5313",5311,,R1,–,True,False,,,,,,,No,
VI Services,Real Estate (531),"Real estate (5311, 5312, and 5313)","Real estate (5311, 5312, and 5313)","5311, 5312, 5313",5312,,R1,–,True,False,,,,,,,No,
VI Services,Real Estate (531),"Real estate (5311, 5312, and 5313)","Real estate (5311, 5312, and 5313)","5311, 5312, 5313",5313,,R1,–,True,False,,,,,,,No,
VI Services,Rental and Leasing Services (532),Automotive equipment rental and leasing (5321),Automotive equipment rental and leasing (5321),5321,,,R1,–,True,False,,,,,,,No,
VI Services,Rental and Leasing Services (532),Consumer electronics and appliances rental (53221),Consumer goods rental (5322) - Consumer electronics and appliances rental (53221),53221,,,R1,–,True,False,,,,,,,No,
VI Services,Rental and Leasing Services (532),Recreational goods rental (532284),Consumer goods rental (5322) - Recreational goods rental (532284),532284,,,R1,–,True,False,,,,,,,No,
VI Services,Rental and Leasing Services (532),All other consumer goods rentals (in 5322),Consumer goods rental (5322) - All other consumer goods rentals (in 5322),5322,"5322 minus 53221, 532284",53221.0,R1,–,True,False,,,,,,,No,
VI Services,Rental and Leasing Services (532),All other consumer goods rentals (in 5322),Consumer goods rental (5322) - All other consumer goods rentals (in 5322),5322,"5322 minus 53221, 532284",532284.0,R1,–,True,False,,,,,,,No,
VI Services,Rental and Leasing Services (532),General rental centers (5323),General rental centers (5323),5323,,,R1,–,True,False,,,,,,,No,
VI Services,Rental and Leasing Services (532),Commercial and industrial machinery and equipment rental and leasing (5324),Commercial and industrial machinery and equipment rental and leasing (5324),5324,,,R1,–,True,False,,,,,,,No,
VI Services,"Professional, Scientific, and Technical Services (541)",Veterinary services (54194),Veterinary services (54194),54194,,,R1,–,True,False,,,,,,,No,
VI Services,"Professional, Scientific, and Technical Services (541)","All other professional, scientific, and technical services (in 541)","All other professional, scientific, and technical services (in 541)",541,541 minus 54194,54194.0,R1,–,True,False,,,,,,,No,
VI Services,Management of Companies and Enterprises (551),Management of companies and enterprises (5511),Management of companies and enterprises (5511),5511,,,R1,–,True,False,,,,,,,No,
VI Services,Administrative and Support Services (561),Travel and reservation services (5615),Travel and reservation services (5615),5615,,,R1,–,True,False,,,,,,,No,
VI Services,Administrative and Support Services (561),Carpet and upholstery cleaning services (56174),Services to buildings and dwellings (5617) - Carpet and upholstery cleaning services (56174),56174,,,R1,–,True,False,,,,,,,No,
VI Services,Administrative and Support Services (561),All other services to buildings and dwellings (in 5617),Services to buildings and dwellings (5617) - All other services to buildings and dwellings (in 5617),5617,5617 minus 56174,56174.0,R1,–,True,False,,,,,,,No,
VI Services,Administrative and Support Services (561),All other administrative and support services (in 561),All other administrative and support services (in 561),561,"561 minus 5615, 5617",5615.0,R1,–,True,False,,,,,,,No,
VI Services,Administrative and Support Services (561),All other administrative and support services (in 561),All other administrative and support services (in 561),561,"561 minus 5615, 5617",5617.0,R1,–,True,False,,,,,,,No,
VI Services,Educational Services (611),Business schools and computer and management training (6114),Business schools and computer and management training (6114),6114,,,R1,–,True,False,,,,,,,No,
VI Services,Educational Services (611),Technical and trade schools (6115),Technical and trade schools (6115),6115,,,R1,–,True,False,,,,,,,No,
VI Services,Educational Services (611),All other schools and instruction (6116 and 6117),All other schools and instruction (6116 and 6117),"6116, 6117",6116,,R1,–,True,False,,,,,,,No,
VI Services,Educational Services (611),All other schools and instruction (6116 and 6117),All other schools and instruction (6116 and 6117),"6116, 6117",6117,,R1,–,True,False,,,,,,,No,
VI Services,Food Services and Drinking Places (722),Special food services (7223),Special food services (7223),7223,,,R1,–,True,False,,,,,,,No,
VI Services,Food Services and Drinking Places (722),Eating or drinking establishments (7224 and 7225),Eating or drinking establishments (7224 and 7225),"7224, 7225",7224,,R1,–,True,False,,,,,,,No,
VI Services,Food Services and Drinking Places (722),Eating or drinking establishments (7224 and 7225),Eating or drinking establishments (7224 and 7225),"7224, 7225",7225,,R1,–,True,False,,,,,,,No,
VI Services,Repair and Maintenance (811),#Heavy motor vehicle repair and maintenance shops#,Automotive repair and maintenance (8111) - #Heavy motor vehicle repair and maintenance shops#,8111,,,R1,–,True,False,,,,,,,No,
VI Services,Repair and Maintenance (811),#Light motor vehicle repair and maintenance shops#,Automotive repair and maintenance (8111) - #Light motor vehicle repair and maintenance shops#,8111,,,R1,–,True,False,,,,,,,No,
VI Services,Repair and Maintenance (811),Car washes (811192),Automotive repair and maintenance (8111) - Car washes (811192),811192,,,R1,–,True,False,,,,,,,No,
VI Services,Repair and Maintenance (811),Electronic and precision equipment repair and maintenance (8112),Electronic and precision equipment repair and maintenance (8112),8112,,,R1,–,True,False,,,,,,,No,
VI Services,Repair and Maintenance (811),Commercial and industrial machinery and equipment repair and maintenance (8113),Commercial and industrial machinery and equipment repair and maintenance (8113),8113,,,R1,–,True,False,,,,,,,No,
VI Services,Repair and Maintenance (811),Bicycle repair,Personal and Household Goods Repair and Maintenance (8114) - Bicycle repair,8114,,,R1,–,True,False,,,,,,,No,
VI Services,Repair and Maintenance (811),Recreational boat repair,Personal and Household Goods Repair and Maintenance (8114) - Recreational boat repair,8114,,,R1,–,True,False,,,,,,,No,
VI Services,Repair and Maintenance (811),Home and garden equipment and appliance repair and maintenance (81141),Personal and Household Goods Repair and Maintenance (8114) - Home and garden equipment and appliance repair and maintenance (81141),81141,,,R1,–,True,False,,,,,,,No,
VI Services,Repair and Maintenance (811),All other personal and household goods repair and maintenance (in 8114),Personal and Household Goods Repair and Maintenance (8114) - All other personal and household goods repair and maintenance (in 8114),8114,"8114 minus 81141, 81149 (boats, bikes only)",,R1,–,True,False,,,,,,,No,
VI Services,Personal and Laundry Services (812),#Health and fitness establishments#,Personal care services (8121) - #Health and fitness establishments#,8121,,,R1,–,True,False,,,,,,,No,
VI Services,Personal and Laundry Services (812),All other personal care services (in 8121),Personal care services (8121) - All other personal care services (in 8121),8121,8121 minus health and fitness,,R1,–,True,False,,,,,,,No,
VI Services,Personal and Laundry Services (812),Funeral homes and funeral services (81221),Death care services (8122) - Funeral homes and funeral services (81221),81221,,,R1,–,True,False,,,,,,,No,
VI Services,Personal and Laundry Services (812),Crematoriums,Death care services (8122) - Crematoriums,8122,,,R1,–,True,False,,,,,,,No,
VI Services,Personal and Laundry Services (812),Personal laundry services,Dry cleaning and laundry services (8123) - Personal laundry services,8123,,,R1,–,True,False,,,,,,,No,
VI Services,Personal and Laundry Services (812),Personal dry cleaning services,Dry cleaning and laundry services (8123) - Personal dry cleaning services,8123,,,R1,–,True,False,,,,,,,No,
