Use Group,Use Header,Use Name,Use Name Full,Use NAICS Code,NAICS Notes,NAICS to subtract,Zoning District,Permitted Value,Not permitted,Permitted,Permitted with limitations,Permitted with limitations*,Special Permit,Size Restrictions,Additional Conditions,Open Use Allowances,Is Allowed,Limitations
I,Agriculture,"Agricultural #uses#, including greenhouses, nurseries or truck gardens","Agricultural #uses#, including greenhouses, nurseries or truck gardens",,,,R1,●P,False,True,,,,,https://zr.planning.nyc.gov/article-ii/chapter-2#22-112,,"Yes, subject to additional conditions",
I,Open Uses,Cemeteries,Cemeteries,,,,R1,–,True,False,,,,,,,No,
I,Open Uses,Golf courses,Golf courses,,,,R1,●,False,True,,,,,,,Yes,
I,Open Uses,Outdoor racket courts,Outdoor racket courts,,,,R1,○,False,False,,,https://zr.planning.nyc.gov/article-ii/chapter-2#22-113,,,,"Yes, by special permit",
I,Open Uses,Outdoor skating rinks,Outdoor skating rinks,,,,R1,○,False,False,,,https://zr.planning.nyc.gov/article-ii/chapter-2#22-113,,,,"Yes, by special permit",
I,Open Uses,#Public parks# or playgrounds or private parks,#Public parks# or playgrounds or private parks,,,,R1,●,False,True,,,,,,,Yes,
I,Open Uses,"Sand, gravel or clay pits","Sand, gravel or clay pits",,,,R1,○,False,False,,,https://zr.planning.nyc.gov/article-ii/chapter-2#22-113,,,,"Yes, by special permit",
II,Residential Uses,#Single-family residence# #Detached#,#Single-family residence# #Detached#,,,,R1,●,False,True,,,,,,,Yes,
II,Residential Uses,#Single-family residence# Other types,#Single-family residence# Other types,,,,R1,●P,False,True,,,,,https://zr.planning.nyc.gov/article-ii/chapter-2#22-122,,"Yes, subject to additional conditions",
II,Residential Uses,#Two-family residence# #Detached#,#Two-family residence# #Detached#,,,,R1,●P,False,True,,,,,https://zr.planning.nyc.gov/article-ii/chapter-2#22-122,,"Yes, subject to additional conditions",
II,Residential Uses,#Two-family residence# Other types,#Two-family residence# Other types,,,,R1,●P,False,True,,,,,https://zr.planning.nyc.gov/article-ii/chapter-2#22-122,,"Yes, subject to additional conditions",
II,Residential Uses,"All other types of #residences#, including #apartment hotels# and #affordable independent residences for seniors#","All other types of #residences#, including #apartment hotels# and #affordable independent residences for seniors#",,,,R1,●P,False,True,,,,,https://zr.planning.nyc.gov/article-ii/chapter-2#22-122,,"Yes, subject to additional conditions",
III(A),Educational Institutions,College or school student dormitories and fraternity or sorority student houses,College or school student dormitories and fraternity or sorority student houses,,,,R1,○,False,False,,,https://zr.planning.nyc.gov/article-ii/chapter-2#22-134,,,,"Yes, by special permit",
III(A),Faith-based Institutions and Facilities,"Monasteries, convents or novitiates","Monasteries, convents or novitiates",,,,R1,●,False,True,,,,,,,Yes,
III(A),Faith-based Institutions and Facilities,Rectories or parish houses with sleeping accommodations,Rectories or parish houses with sleeping accommodations,,,,R1,●,False,True,,,,,,,Yes,
III(A),Faith-based Institutions and Facilities,Seminaries with sleeping accommodations,Seminaries with sleeping accommodations,,,,R1,●,False,True,,,,,,,Yes,
III(A),Health Institutions and Facilities,#Long-term care facilities#,#Long-term care facilities#,,,,R1,○,False,False,,,https://zr.planning.nyc.gov/article-ii/chapter-2#22-134,,,,"Yes, by special permit",
III(A),Health Institutions and Facilities,#Non-profit hospital staff dwellings#,#Non-profit hospital staff dwellings#,,,,R1,●P,False,True,,,,,https://zr.planning.nyc.gov/article-ii/chapter-2#22-133,,"Yes, subject to additional conditions",
III(A),Other Institutions and Facilities,Community centers or settlement houses with sleeping accommodations,Community centers or settlement houses with sleeping accommodations,,,,R1,●,False,True,,,,,,,Yes,
III(A),Other Institutions and Facilities,Non-commercial clubs with sleeping accommodations,Non-commercial clubs with sleeping accommodations,,,,R1,○,False,False,,,https://zr.planning.nyc.gov/article-ii/chapter-2#22-134,,,,"Yes, by special permit",
III(A),Other Institutions and Facilities,Philanthropic or non-profit institutions with sleeping accommodations,Philanthropic or non-profit institutions with sleeping accommodations,,,,R1,●S,False,True,,,,https://zr.planning.nyc.gov/article-ii/chapter-2#22-132,,,"Yes, subject to size restrictions",
III(B),Educational Institutions,"Colleges or universities, including professional schools but excluding business colleges or trade schools","Colleges or universities, including professional schools but excluding business colleges or trade schools",,,,R1,○,False,False,,,https://zr.planning.nyc.gov/article-ii/chapter-2#22-134,,,,"Yes, by special permit",
III(B),Educational Institutions,#Schools#,#Schools#,,,,R1,●,False,True,,,,,,,Yes,
III(B),Faith-based Institutions and Facilities,Houses of worship,Houses of worship,,,,R1,●,False,True,,,,,,,Yes,
III(B),Faith-based Institutions and Facilities,Parish houses without sleeping accommodations,Parish houses without sleeping accommodations,,,,R1,●,False,True,,,,,,,Yes,
III(B),Faith-based Institutions and Facilities,Seminaries without sleeping accommodations,Seminaries without sleeping accommodations,,,,R1,●,False,True,,,,,,,Yes,
III(B),Health Institutions and Facilities,Ambulatory diagnostic or treatment health care facilities,Ambulatory diagnostic or treatment health care facilities,,,,R1,–,True,False,,,,,,,No,
III(B),Health Institutions and Facilities,"Non-profit or voluntary hospitals and related facilities, except animal hospitals","Non-profit or voluntary hospitals and related facilities, except animal hospitals",,,,R1,●,False,True,,,,,,,Yes,
III(B),Health Institutions and Facilities,"Proprietary hospitals and related facilities, except animal hospitals","Proprietary hospitals and related facilities, except animal hospitals",,,,R1,–,True,False,,,,,,,No,
III(B),Other Institutions and Facilities,Community centers or settlement houses without sleeping accommodations,Community centers or settlement houses without sleeping accommodations,,,,R1,●,False,True,,,,,,,Yes,
III(B),Other Institutions and Facilities,Libraries,Libraries,,,,R1,●,False,True,,,,,,,Yes,
III(B),Other Institutions and Facilities,Museums,Museums,,,,R1,●,False,True,,,,,,,Yes,
III(B),Other Institutions and Facilities,Non-commercial art galleries,Non-commercial art galleries,,,,R1,●,False,True,,,,,,,Yes,
