Use Group,Use Header,Use Name,Use NAICS Code,Processed NAICS,NAICS index names to include,NAICS Notes,NAICS to subtract,NAICS index names to subtract,Use Notes,NAICS_Type,Zoning District,Permitted Value,Not permitted,Permitted,Permitted with limitations,Permitted with limitations*,Special Permit,Size Restrictions,Additional Conditions,Open Use Allowances,Is Allowed,Is Allowed flag,Limitations
II,Residential Uses,#Two-family residence# Other types,,,,,,,See ZR Glossary for #two-family residence# definition: https://zr.planning.nyc.gov/article-i/chapter-2#12-10,0,R1,●P,False,True,False,False,False,False,https://zr.planning.nyc.gov/article-ii/chapter-2#22-122,False,"Yes, subject to additional conditions",True,
II,Residential Uses,"All other types of #residences#, including #apartment hotels# and #affordable independent residences for seniors#",,,,,,,See ZR Glossary for #residence# and other term definitions: https://zr.planning.nyc.gov/article-i/chapter-2#12-10,0,R1,●P,False,True,False,False,False,False,https://zr.planning.nyc.gov/article-ii/chapter-2#22-122,False,"Yes, subject to additional conditions",True,
III(A),Educational Institutions,College or school student dormitories and fraternity or sorority student houses,,,,,,,,0,R1,○,False,False,False,False,https://zr.planning.nyc.gov/article-ii/chapter-2#22-134,False,False,False,"Yes, by special permit",True,
III(A),Faith-based Institutions and Facilities,"Monasteries, convents or novitiates",,,,,,,,0,R1,●,False,True,False,False,False,False,False,False,Yes,True,
III(A),Faith-based Institutions and Facilities,Rectories or parish houses with sleeping accommodations,,,,,,,,0,R1,●,False,True,False,False,False,False,False,False,Yes,True,
III(A),Faith-based Institutions and Facilities,Seminaries with sleeping accommodations,,,,,,,,0,R1,●,False,True,False,False,False,False,False,False,Yes,True,
III(A),Health Institutions and Facilities,#Long-term care facilities#,,,,,,,See ZR Glossary for #long-term care facility# definition: https://zr.planning.nyc.gov/article-i/chapter-2#12-10,0,R1,○,False,False,False,False,https://zr.planning.nyc.gov/article-ii/chapter-2#22-134,False,False,False,"Yes, by special permit",True,
III(A),Health Institutions and Facilities,#Non-profit hospital staff dwellings#,,,,,,,See ZR Glossary for #non-profit hospital staff dwelling# definition: https://zr.planning.nyc.gov/article-i/chapter-2#12-10,0,R1,●P,False,True,False,False,False,False,https://zr.planning.nyc.gov/article-ii/chapter-2#22-133,False,"Yes, subject to additional conditions",True,
III(A),Other Institutions and Facilities,Community centers or settlement houses with sleeping accommodations,,,,,,,,0,R1,●,False,True,False,False,False,False,False,False,Yes,True,
III(A),Other Institutions and Facilities,Non-commercial clubs with sleeping accommodations,,,,,,,,0,R1,○,False,False,False,False,https://zr.planning.nyc.gov/article-ii/chapter-2#22-134,False,False,False,"Yes, by special permit",True,
III(A),Other Institutions and Facilities,Philanthropic or non-profit institutions with sleeping accommodations,,,,,,,,0,R1,●S,False,True,False,False,False,https://zr.planning.nyc.gov/article-ii/chapter-2#22-132,False,False,"Yes, subject to size restrictions",True,
III(B),Educational Institutions,"Colleges or universities, including professional schools but excluding business colleges or trade schools",,,,,,,,0,R1,○,False,False,False,False,https://zr.planning.nyc.gov/article-ii/chapter-2#22-134,False,False,False,"Yes, by special permit",True,
III(B),Educational Institutions,#Schools#,,,,,,,See ZR Glossary for #school# definition: https://zr.planning.nyc.gov/article-i/chapter-2#12-10,0,R1,●,False,True,False,False,False,False,False,False,Yes,True,
III(B),Educational Institutions,Child care centers*,,,,,,,"Not an official Zoning Resolution use - added manually, follows rules of #Schools#. See Zoning Resolution glossary for details: https://zr.planning.nyc.gov/article-i/chapter-2#12-10",0,R1,●,False,True,False,False,False,False,False,False,Yes,True,
III(B),Faith-based Institutions and Facilities,Houses of worship,,,,,,,,0,R1,●,False,True,False,False,False,False,False,False,Yes,True,
III(B),Faith-based Institutions and Facilities,Parish houses without sleeping accommodations,,,,,,,,0,R1,●,False,True,False,False,False,False,False,False,Yes,True,
III(B),Faith-based Institutions and Facilities,Seminaries without sleeping accommodations,,,,,,,,0,R1,●,False,True,False,False,False,False,False,False,Yes,True,
III(B),Health Institutions and Facilities,Ambulatory diagnostic or treatment health care facilities,,,,,,,,0,R1,–,True,False,False,False,False,False,False,False,No,False,
III(B),Health Institutions and Facilities,"Non-profit or voluntary hospitals and related facilities, except animal hospitals",,,,,,,,0,R1,●,False,True,False,False,False,False,False,False,Yes,True,
III(B),Health Institutions and Facilities,"Proprietary hospitals and related facilities, except animal hospitals",,,,,,,,0,R1,–,True,False,False,False,False,False,False,False,No,False,
III(B),Other Institutions and Facilities,Community centers or settlement houses without sleeping accommodations,,,,,,,,0,R1,●,False,True,False,False,False,False,False,False,Yes,True,
III(B),Other Institutions and Facilities,Libraries,,,,,,,,0,R1,●,False,True,False,False,False,False,False,False,Yes,True,
III(B),Other Institutions and Facilities,Museums,,,,,,,,0,R1,●,False,True,False,False,False,False,False,False,Yes,True,
III(B),Other Institutions and Facilities,Non-commercial art galleries,,,,,,,,0,R1,●,False,True,False,False,False,False,False,False,Yes,True,
III(B),Other Institutions and Facilities,Non-commercial clubs without sleeping accomodations,,,,,,,,0,R1,○,False,False,False,False,https://zr.planning.nyc.gov/article-ii/chapter-2#22-134,False,False,False,"Yes, by special permit",True,
III(B),Other Institutions and Facilities,Non-commercial recreation centers,,,,,,,,0,R1,●,False,True,False,False,False,False,False,False,Yes,True,
III(B),Other Institutions and Facilities,"Philanthropic or non-profit institutions without sleeping accommodations, excluding ambulatory diagnostic or treatment health care facilities",,,,,,,,0,R1,●S,False,True,False,False,False,https://zr.planning.nyc.gov/article-ii/chapter-2#22-132,False,False,"Yes, subject to size restrictions",True,
III(B),Other Institutions and Facilities,Welfare centers,,,,,,,,0,R1,○,False,False,False,False,https://zr.planning.nyc.gov/article-ii/chapter-2#22-134,False,False,False,"Yes, by special permit",True,
IV(A),Public Service Buildings,Court houses,,,,,,,,0,R1,–,True,False,False,False,False,False,False,False,No,False,
IV(A),Public Service Buildings,Fire or police stations,,,,,,,,0,R1,○,False,False,False,False,https://zr.planning.nyc.gov/article-ii/chapter-2#22-144,False,False,False,"Yes, by special permit",True,
IV(A),Other Facilities,Prisons,,,,,,,,0,R1,–,True,False,False,False,False,False,False,False,No,False,
IV(B),Communication Infrastructure,"Radio or television towers, non-#accessory#",,,,,,,See ZR Glossary for #accessory# definition: https://zr.planning.nyc.gov/article-i/chapter-2#12-10,0,R1,○,False,False,False,False,https://zr.planning.nyc.gov/article-ii/chapter-2#22-144,False,False,False,"Yes, by special permit",True,
IV(B),Communication Infrastructure,Telephone exchanges or other communications equipment structures,,,,,,,,0,R1,○,False,False,False,False,https://zr.planning.nyc.gov/article-ii/chapter-2#22-144,False,False,False,"Yes, by special permit",True,
IV(B),Electric and Gas Infrastructure,Electric power or steam generating plants,,,,,,,,0,R1,–,True,False,False,False,False,False,False,False,No,False,
IV(B),Electric and Gas Infrastructure,Electric utility substations,,,,,,,,0,R1,○,False,False,False,False,https://zr.planning.nyc.gov/article-ii/chapter-2#22-144,False,False,False,"Yes, by special permit",True,
IV(B),Electric and Gas Infrastructure,Gas utility substations,,,,,,,,0,R1,○,False,False,False,False,https://zr.planning.nyc.gov/article-ii/chapter-2#22-144,False,False,False,"Yes, by special permit",True,
IV(B),Electric and Gas Infrastructure,Public utility stations for oil or gas metering or regulating,,,,,,,,0,R1,○,False,False,False,False,https://zr.planning.nyc.gov/article-ii/chapter-2#22-144,False,False,False,"Yes, by special permit",True,
IV(B),Electric and Gas Infrastructure,"Terminal facilities at river crossings for access to electric, gas, or steam lines",,,,,,,,0,R1,○,False,False,False,False,https://zr.planning.nyc.gov/article-ii/chapter-2#22-144,False,False,False,"Yes, by special permit",True,
IV(B),"Sewage, Storm Water and Waste Infrastructure",Composting,,,,,,,,0,R1,–,True,False,False,False,False,False,False,False,No,False,
IV(B),"Sewage, Storm Water and Waste Infrastructure","Dumps, recycling or material recovery facilities, marine transfer stations for garbage or slag piles",,,,,,,,0,R1,–,True,False,False,False,False,False,False,False,No,False,
IV(B),"Sewage, Storm Water and Waste Infrastructure","Incineration or reduction of garbage, offal or dead animals",,,,,,,,0,R1,–,True,False,False,False,False,False,False,False,No,False,
IV(B),"Sewage, Storm Water and Waste Infrastructure",Radioactive waste disposal services involving the handling or storage of radioactive waste,,,,,,,,0,R1,–,True,False,False,False,False,False,False,False,No,False,
IV(B),"Sewage, Storm Water and Waste Infrastructure",Sewage disposal plants,,,,,,,,0,R1,○,False,False,False,False,https://zr.planning.nyc.gov/article-ii/chapter-2#22-144,False,False,False,"Yes, by special permit",True,
IV(B),"Sewage, Storm Water and Waste Infrastructure",Water or sewage pumping stations,,,,,,,,0,R1,○,False,False,False,False,https://zr.planning.nyc.gov/article-ii/chapter-2#22-144,False,False,False,"Yes, by special permit",True,
IV(B),Transportation Infrastructure,Airports,,,,,,,,0,R1,–,True,False,False,False,False,False,False,False,No,False,
IV(B),Transportation Infrastructure,Boat launching facilities for non-commercial pleasure boats,,,,,,,,0,R1,–,True,False,False,False,False,False,False,False,No,False,
IV(B),Transportation Infrastructure,Bus stations,,,,,,,,0,R1,–,True,False,False,False,False,False,False,False,No,False,
IV(B),Transportation Infrastructure,Docks,,,,,,,,0,R1,–,True,False,False,False,False,False,False,False,No,False,
IV(B),Transportation Infrastructure,"Freight terminals, yards or appurtenances, or facilities or services used or required in railroad operations, but not including passenger stations",,,,,,,,0,R1,–,True,False,False,False,False,False,False,False,No,False,
IV(B),Transportation Infrastructure,Heliports,,,,,,,,0,R1,–,True,False,False,False,False,False,False,False,No,False,
IV(B),Transportation Infrastructure,Mooring facilities for non-commercial pleasure boats,,,,,,,,0,R1,–,True,False,False,False,False,False,False,False,No,False,
IV(B),Transportation Infrastructure,Public transit or railroad electric substations,,,,,,,,0,R1,○,False,False,False,False,https://zr.planning.nyc.gov/article-ii/chapter-2#22-144,False,False,False,"Yes, by special permit",True,
IV(B),Transportation Infrastructure,"Public transit yards, including #accessory# motor fuel pumps",,,,,,,See ZR Glossary for #accessory# definition: https://zr.planning.nyc.gov/article-i/chapter-2#12-10,0,R1,–,True,False,False,False,False,False,False,False,No,False,
IV(B),Transportation Infrastructure,Railroad or transit rights-of-way,,,,,,,,0,R1,●,False,True,False,False,False,False,False,False,Yes,True,
IV(B),Transportation Infrastructure,Railroad passenger stations,,,,,,,,0,R1,○,False,False,False,False,https://zr.planning.nyc.gov/article-ii/chapter-2#22-144,False,False,False,"Yes, by special permit",True,
IV(B),Transportation Infrastructure,Seaplane bases,,,,,,,,0,R1,○,False,False,False,False,https://zr.planning.nyc.gov/article-ii/chapter-2#22-144,False,False,False,"Yes, by special permit",True,
IV(B),Transportation Infrastructure,Truck weighing stations,,,,,,,,0,R1,–,True,False,False,False,False,False,False,False,No,False,
IV(C),Renewable Energy and Green Infrastructure,#Energy infrastructure equipment#,,,,,,,See ZR Glossary for #energy infrastructure equipment# definition: https://zr.planning.nyc.gov/article-i/chapter-2#12-10,0,R1,●S     P,False,True,False,False,False,https://zr.planning.nyc.gov/article-ii/chapter-2#22-142,https://zr.planning.nyc.gov/article-ii/chapter-2#22-143,False,"Yes, subject to size restrictions, subject to additional conditions",True,
IV(C),Renewable Energy and Green Infrastructure,Public bicycle and micromobility parking,,,,,,,,0,R1,–,True,False,False,False,False,False,False,False,No,False,
IV(C),Renewable Energy and Green Infrastructure,"Recycling, or organic material, receiving",,,,,,,,0,R1,–,True,False,False,False,False,False,False,False,No,False,
V,Transient Accommodations,#Motels#,,,,,,,See ZR Glossary for #motel# definition: https://zr.planning.nyc.gov/article-i/chapter-2#12-10,0,R1,–,True,False,False,False,False,False,False,False,No,False,
V,Transient Accommodations,Overnight camps,,,,,,,,0,R1,○,False,False,False,False,https://zr.planning.nyc.gov/article-ii/chapter-2#22-15,False,False,False,"Yes, by special permit",True,
V,Transient Accommodations,#Tourist cabins#,,,,,,,See ZR Glossary for #tourist cabin# definition: https://zr.planning.nyc.gov/article-i/chapter-2#12-10,0,R1,–,True,False,False,False,False,False,False,False,No,False,
V,Transient Accommodations,#Transient hotels#,,,,,,,See ZR Glossary for #transient hotel# definition: https://zr.planning.nyc.gov/article-i/chapter-2#12-10,0,R1,–,True,False,False,False,False,False,False,False,No,False,
VI Retail,Motor Vehicle and Parts Dealer (441),Automobile dealers (4411),4411,,,,,,,1,R1,–,True,False,False,False,False,False,False,False,No,False,
VI Retail,Motor Vehicle and Parts Dealer (441),Boat dealers (441222),441222,,,,,,,1,R1,–,True,False,False,False,False,False,False,False,No,False,
VI Retail,Motor Vehicle and Parts Dealer (441),All other motor vehicle dealers (in 4412),4412,4412 minus 441222,,,441222,,,3,R1,–,True,False,False,False,False,False,False,False,No,False,
VI Retail,Motor Vehicle and Parts Dealer (441),"Automotive parts, accessories and tire retailers (4413)",4413,,,,,,,1,R1,–,True,False,False,False,False,False,False,False,No,False,
VI Retail,Building Material and Garden Equipment and Supplies Dealer (444),"Lumber yards, retail (in 444180)",444180 (select),444180 Lumber retailing yards,Lumber retailing yards,,,,"NAICS index assigned for tool usability, relationship not officially defined in Zoning Resolution",4,R1,–,True,False,False,False,False,False,False,False,No,False,
VI Retail,Building Material and Garden Equipment and Supplies Dealer (444),All other building material and supplies dealers (in 4441),4441,4441 minus 444180,,,444180,,,3,R1,–,True,False,False,False,False,False,False,False,No,False,
VI Retail,Building Material and Garden Equipment and Supplies Dealer (444),Lawn and garden equipment and supplies retailers (4442),4442,,,,,,,1,R1,–,True,False,False,False,False,False,False,False,No,False,
VI Retail,Food and Beverage Retailers (445),Grocery and convenience retailers (4451),4451,,,,,,,1,R1,–,True,False,False,False,False,False,False,False,No,False,
VI Retail,Food and Beverage Retailers (445),Specialty food retailers (4452),4452,,,,,,,1,R1,–,True,False,False,False,False,False,False,False,No,False,
VI Retail,Food and Beverage Retailers (445),"Beer, wine and liquor retailers (4453)",4453,,,,,,,1,R1,–,True,False,False,False,False,False,False,False,No,False,
VI Retail,"Furniture, Home Furnishings, Electronics, and Appliance Retailers (449)",Furniture and home furnishing retailers (4491),4491,,,,,,,1,R1,–,True,False,False,False,False,False,False,False,No,False,
VI Retail,"Furniture, Home Furnishings, Electronics, and Appliance Retailers (449)",Electronics and appliance retailers (4492),4492,,,,,,,1,R1,–,True,False,False,False,False,False,False,False,No,False,
VI Retail,General Merchandise Retailers (455),Department stores (4551),4551,,,,,,,1,R1,–,True,False,False,False,False,False,False,False,No,False,
VI Retail,General Merchandise Retailers (455),"Warehouse clubs, supercenters, and other general merchandise retailers (4552)",4552,,,,,,,1,R1,–,True,False,False,False,False,False,False,False,No,False,
VI Retail,Health and Personal Care Retailers (456),Health and personal care retailers (4561),4561,,,,,,,1,R1,–,True,False,False,False,False,False,False,False,No,False,
VI Retail,Gasoline Stations and Fuel Dealers (457),#Automotive service stations#,4571,4571 minus 457120 Marine service stations; 457120 Truck stops,,,,Marine service stations; Truck stops,"NAICS index assigned for tool usability, relationship not officially defined in Zoning Resolution; See ZR Glossary for use definition: https://zr.planning.nyc.gov/article-i/chapter-2#12-10",4,R1,–,True,False,False,False,False,False,False,False,No,False,
VI Retail,Gasoline Stations and Fuel Dealers (457),Electric vehicle charging and battery swapping,,,,No EV charging NAICS index available under 4571,,,,0,R1,–,True,False,False,False,False,False,False,False,No,False,
VI Retail,Gasoline Stations and Fuel Dealers (457),Boat fuel sales,4571 (select),457120 Marine service stations,Marine service stations,,,,"NAICS index assigned for tool usability, relationship not officially defined in Zoning Resolution",4,R1,–,True,False,False,False,False,False,False,False,No,False,
VI Retail,Gasoline Stations and Fuel Dealers (457),Fuel dealers (4572),4572,,,,,,,1,R1,–,True,False,False,False,False,False,False,False,No,False,
VI Retail,"Clothing, Clothing Accessories, Shoe and Jewelry Retailers (458)",Clothing and clothing accessories retailers (4581),4581,,,,,,,1,R1,–,True,False,False,False,False,False,False,False,No,False,
VI Retail,"Clothing, Clothing Accessories, Shoe and Jewelry Retailers (458)",Shoe retailers (4582),4582,,,,,,,1,R1,–,True,False,False,False,False,False,False,False,No,False,
VI Retail,"Clothing, Clothing Accessories, Shoe and Jewelry Retailers (458)","Jewelry, luggage, and leather goods retailers (4583)",4583,,,,,,,1,R1,–,True,False,False,False,False,False,False,False,No,False,
VI Retail,"Sporting Goods, Hobby, Musical Instrument, Book and Miscellaneous Retailers (459)",Sporting goods retailers (45911),45911,,,,,,,1,R1,–,True,False,False,False,False,False,False,False,No,False,
VI Retail,"Sporting Goods, Hobby, Musical Instrument, Book and Miscellaneous Retailers (459)",All other hobby and musical instrument retailers (in 4591),4591,4591 minus 45911,,,45911,,,3,R1,–,True,False,False,False,False,False,False,False,No,False,
VI Retail,"Sporting Goods, Hobby, Musical Instrument, Book and Miscellaneous Retailers (459)",Book retailers,4592 (select),459210 Book stores; 459210 Comic book stores; 459210 Religious book stores,Book stores; Comic book stores; Religious book stores,,,,"NAICS index assigned for tool usability, relationship not officially defined in Zoning Resolution",4,R1,–,True,False,False,False,False,False,False,False,No,False,
VI Retail,"Sporting Goods, Hobby, Musical Instrument, Book and Miscellaneous Retailers (459)",News dealers,4592 (select),"459210 News dealers; 459210 Newsstands (i.e., permanent); 459210 Magazine stands (i.e., permanent)","News dealers; Newsstands (i.e., permanent); Magazine stands (i.e., permanent)",,,,"NAICS index assigned for tool usability, relationship not officially defined in Zoning Resolution",4,R1,–,True,False,False,False,False,False,False,False,No,False,
VI Retail,"Sporting Goods, Hobby, Musical Instrument, Book and Miscellaneous Retailers (459)",Florists (4593),4593,,,,,,,1,R1,–,True,False,False,False,False,False,False,False,No,False,
VI Retail,"Sporting Goods, Hobby, Musical Instrument, Book and Miscellaneous Retailers (459)","Office supplies, stationary, and gift retailers (4594)",4594,,,,,,,1,R1,–,True,False,False,False,False,False,False,False,No,False,
VI Retail,"Sporting Goods, Hobby, Musical Instrument, Book and Miscellaneous Retailers (459)",Used merchandise retailers (4595),4595,,,,,,,1,R1,–,True,False,False,False,False,False,False,False,No,False,
VI Retail,"Sporting Goods, Hobby, Musical Instrument, Book and Miscellaneous Retailers (459)",Miscellaneous retailers (4599),4599,,,,,,,1,R1,–,True,False,False,False,False,False,False,False,No,False,
VI Retail,"Sporting Goods, Hobby, Musical Instrument, Book and Miscellaneous Retailers (459)",Cannabis dispensaries*,,,,,,,"Not an official Zoning Resolution use - added manually, follows rules of Miscellaneous Retailers (4599)",1,R1,–,True,False,False,False,False,False,False,False,No,False,
VI Services,Postal Service (491) / Couriers and Messengers (492),Postal service (4911),4911,,,,,,,1,R1,–,True,False,False,False,False,False,False,False,No,False,
VI Services,Postal Service (491) / Couriers and Messengers (492),Couriers and express delivery services (4921),4921,,,,,,,1,R1,–,True,False,False,False,False,False,False,False,No,False,
VI Services,Postal Service (491) / Couriers and Messengers (492),Local messengers and local delivery (4922),4922,,,,,,,1,R1,–,True,False,False,False,False,False,False,False,No,False,
VI Services,Telecommunications (517),Wired and wireless telecommunications (5171),5171,,,,,,,1,R1,–,True,False,False,False,False,False,False,False,No,False,
VI Services,"Computing Infrastructure Providers, Data Processing, Web Hosting, and Related Services (518)","Computing infrastructure providers, data processing, web hosting, and related services (5182)",5182,,,,,,,1,R1,–,True,False,False,False,False,False,False,False,No,False,
VI Services,Credit Intermediation and Related Activities (522),"Savings, loan and other financial services (5221, 5222 and 5223)","5221, 5222, 5223","5221, 5222, 5223",,,,,,2,R1,–,True,False,False,False,False,False,False,False,No,False,
VI Services,"Securities, Commodity Contracts, and Other Financial Investments and Related Activities (523)","Securities, commodity contracts, and other financial investments and related activities (5231, 5232 and 5239)","5231, 5232, 5239","5231, 5232, 5239",,,,,,2,R1,–,True,False,False,False,False,False,False,False,No,False,
VI Services,Insurance Carriers and Related Activities (524),Insurance carriers and related activities (5241 and 5242),"5241, 5242","5241, 5242",,,,,,2,R1,–,True,False,False,False,False,False,False,False,No,False,
VI Services,"Funds, Trusts and Other Financial Vehicles (525)","Funds, trusts and other financial vehicles (5251 and 5259)","5251, 5259","5251, 5259",,,,,,2,R1,–,True,False,False,False,False,False,False,False,No,False,
VI Services,Real Estate (531),"Real estate (5311, 5312, and 5313)","5311, 5312, 5313","5311, 5312, 5313",,,,,,2,R1,–,True,False,False,False,False,False,False,False,No,False,
VI Services,Rental and Leasing Services (532),Automotive equipment rental and leasing (5321),5321,,,,,,,1,R1,–,True,False,False,False,False,False,False,False,No,False,
VI Services,Rental and Leasing Services (532),Consumer electronics and appliances rental (53221),53221,,,,,,,1,R1,–,True,False,False,False,False,False,False,False,No,False,
VI Services,Rental and Leasing Services (532),Recreational goods rental (532284),532284,,,,,,,1,R1,–,True,False,False,False,False,False,False,False,No,False,
VI Services,Rental and Leasing Services (532),All other consumer goods rentals (in 5322),5322,"5322 minus 53221, 532284",,,"53221, 532284",,,3,R1,–,True,False,False,False,False,False,False,False,No,False,
VI Services,Rental and Leasing Services (532),General rental centers (5323),5323,,,,,,,1,R1,–,True,False,False,False,False,False,False,False,No,False,
VI Services,Rental and Leasing Services (532),Commercial and industrial machinery and equipment rental and leasing (5324),5324,,,,,,,1,R1,–,True,False,False,False,False,False,False,False,No,False,
VI Services,"Professional, Scientific, and Technical Services (541)",Veterinary services (54194),54194,,,,,,,1,R1,–,True,False,False,False,False,False,False,False,No,False,
VI Services,"Professional, Scientific, and Technical Services (541)","All other professional, scientific, and technical services (in 541)",541,541 minus 54194,,,54194,,,3,R1,–,True,False,False,False,False,False,False,False,No,False,
VI Services,Management of Companies and Enterprises (551),Management of companies and enterprises (5511),5511,,,,,,,1,R1,–,True,False,False,False,False,False,False,False,No,False,
VI Services,Administrative and Support Services (561),Travel and reservation services (5615),5615,,,,,,,1,R1,–,True,False,False,False,False,False,False,False,No,False,
VI Services,Administrative and Support Services (561),Carpet and upholstery cleaning services (56174),56174,,,,,,,1,R1,–,True,False,False,False,False,False,False,False,No,False,
VI Services,Administrative and Support Services (561),All other services to buildings and dwellings (in 5617),5617,5617 minus 56174,,,56174,,,3,R1,–,True,False,False,False,False,False,False,False,No,False,
VI Services,Administrative and Support Services (561),All other administrative and support services (in 561),561,"561 minus 5615, 5617",,,"5615, 5617",,,3,R1,–,True,False,False,False,False,False,False,False,No,False,
VI Services,Educational Services (611),Business schools and computer and management training (6114),6114,,,,,,,1,R1,–,True,False,False,False,False,False,False,False,No,False,
VI Services,Educational Services (611),Technical and trade schools (6115),6115,,,,,,,1,R1,–,True,False,False,False,False,False,False,False,No,False,
VI Services,Educational Services (611),All other schools and instruction (6116 and 6117),"6116, 6117","6116, 6117",,,,,,2,R1,–,True,False,False,False,False,False,False,False,No,False,
VI Services,Food Services and Drinking Places (722),Special food services (7223),7223,,,,,,,1,R1,–,True,False,False,False,False,False,False,False,No,False,
VI Services,Food Services and Drinking Places (722),Eating or drinking establishments (7224 and 7225),"7224, 7225","7224, 7225",,,,,,2,R1,–,True,False,False,False,False,False,False,False,No,False,
VI Services,Repair and Maintenance (811),#Heavy motor vehicle repair and maintenance shops#,,,,,,,See ZR Glossary for #heavy motor vehicle repair and maintenance shop# definition: https://zr.planning.nyc.gov/article-i/chapter-2#12-10,0,R1,–,True,False,False,False,False,False,False,False,No,False,
VI Services,Repair and Maintenance (811),#Light motor vehicle repair and maintenance shops#,,,,,,,See ZR Glossary for #light motor vehicle repair and maintenance shop# definition: https://zr.planning.nyc.gov/article-i/chapter-2#12-10,0,R1,–,True,False,False,False,False,False,False,False,No,False,
VI Services,Repair and Maintenance (811),Car washes (811192),811192,,,,,,,1,R1,–,True,False,False,False,False,False,False,False,No,False,
VI Services,Repair and Maintenance (811),Electronic and precision equipment repair and maintenance (8112),8112,,,,,,,1,R1,–,True,False,False,False,False,False,False,False,No,False,
VI Services,Repair and Maintenance (811),Commercial and industrial machinery and equipment repair and maintenance (8113),8113,,,,,,,1,R1,–,True,False,False,False,False,False,False,False,No,False,
VI Services,Repair and Maintenance (811),Bicycle repair,8114 (select),811490 Bicycle repair and maintenance shops without retailing new bicycles,Bicycle repair and maintenance shops without retailing new bicycles,,,,"NAICS index assigned for tool usability, relationship not officially defined in Zoning Resolution",4,R1,–,True,False,False,False,False,False,False,False,No,False,
VI Services,Repair and Maintenance (811),Recreational boat repair,8114 (select),"811490 Motorboat (i.e., inboard and outboard) repair and maintenance services; 811490 Boat, pleasure, repair and maintenance services without retailing new boats; 811490 Pleasure boat maintenance services (e.g., cleaning, scaling, waxing); 811490 Outboard motor repair shops","Motorboat (i.e., inboard and outboard) repair and maintenance services; Boat, pleasure, repair and maintenance services without retailing new boats; Pleasure boat maintenance services (e.g., cleaning, scaling, waxing); Outboard motor repair shops",,,,"NAICS index assigned for tool usability, relationship not officially defined in Zoning Resolution",4,R1,–,True,False,False,False,False,False,False,False,No,False,
VI Services,Repair and Maintenance (811),Home and garden equipment and appliance repair and maintenance (81141),81141,,,,,,,1,R1,–,True,False,False,False,False,False,False,False,No,False,
VI Services,Repair and Maintenance (811),All other personal and household goods repair and maintenance (in 8114),8114,"8114 minus 81141, 81149 (select)",,,81141,"Bicycle repair and maintenance shops without retailing new bicycles; Motorboat (i.e., inboard and outboard) repair and maintenance services; Boat, pleasure, repair and maintenance services without retailing new boats","NAICS index assigned for tool usability, relationship not officially defined in Zoning Resolution",4,R1,–,True,False,False,False,False,False,False,False,No,False,
