Use Group,Use Header,Use Name,Use NAICS Code,Processed NAICS,NAICS index names to include,NAICS Notes,NAICS to subtract,NAICS index names to subtract,Use Notes,NAICS_Type,Zoning District,Permitted Value,Not permitted,Permitted,Permitted with limitations,Permitted with limitations*,Special Permit,Size Restrictions,Additional Conditions,Open Use Allowances,Is Allowed,Is Allowed flag,Limitations
I,Agriculture,"Agricultural #uses#, including greenhouses, nurseries or truck gardens",,,,,,,See ZR Glossary for #use# definition: https://zr.planning.nyc.gov/article-i/chapter-2#12-10,0,R1,●P,False,True,False,False,False,False,https://zr.planning.nyc.gov/article-ii/chapter-2#22-112,False,"Yes, subject to additional conditions",True,
I,Open Uses,Cemeteries,,,,,,,,0,R1,–,True,False,False,False,False,False,False,False,No,False,
I,Open Uses,Golf courses,,,,,,,,0,R1,●,False,True,False,False,False,False,False,False,Yes,True,
I,Open Uses,Outdoor racket courts,,,,,,,"If court is indoors, falls into UG VI Services #Health and fitness establishments#",0,R1,○,False,False,False,False,https://zr.planning.nyc.gov/article-ii/chapter-2#22-113,False,False,False,"Yes, by special permit",True,
I,Open Uses,Outdoor skating rinks,,,,,,,,0,R1,○,False,False,False,False,https://zr.planning.nyc.gov/article-ii/chapter-2#22-113,False,False,False,"Yes, by special permit",True,
I,Open Uses,#Public parks# or playgrounds or private parks,,,,,,,See ZR Glossary for #public park# definition: https://zr.planning.nyc.gov/article-i/chapter-2#12-10,0,R1,●,False,True,False,False,False,False,False,False,Yes,True,
I,Open Uses,"Sand, gravel or clay pits",,,,,,,,0,R1,○,False,False,False,False,https://zr.planning.nyc.gov/article-ii/chapter-2#22-113,False,False,False,"Yes, by special permit",True,
II,Residential Uses,#Single-family residence# #Detached#,,,,,,,See ZR Glossary for #single-family residence# and #detached# definitions: https://zr.planning.nyc.gov/article-i/chapter-2#12-10,0,R1,●,False,True,False,False,False,False,False,False,Yes,True,
II,Residential Uses,#Single-family residence# Other types,,,,,,,See ZR Glossary for #single-family residence# definition: https://zr.planning.nyc.gov/article-i/chapter-2#12-10,0,R1,●P,False,True,False,False,False,False,https://zr.planning.nyc.gov/article-ii/chapter-2#22-122,False,"Yes, subject to additional conditions",True,
II,Residential Uses,#Two-family residence# #Detached#,,,,,,,See ZR Glossary for #two-family residence# and #detached# definitions: https://zr.planning.nyc.gov/article-i/chapter-2#12-10,0,R1,●P,False,True,False,False,False,False,https://zr.planning.nyc.gov/article-ii/chapter-2#22-122,False,"Yes, subject to additional conditions",True,
