NAICS Title
ATMs (automated teller machines) manufacturing
Abattoirs
Abrasion testing machines manufacturing
"Abrasive points, wheels, and disks, dental, manufacturing"
Abrasive products manufacturing
Absorbent paper stock manufacturing
"Absorbers, gas, heavy gauge metal, manufacturing"
"Absorption analyzers, industrial process type (e.g., infrared), manufacturing"
Academic tutoring services
"Academies, riding instruction"
"Acceleration indicators and systems components, aerospace type, manufacturing"
"Accelerators (i.e., basic synthetic chemical) manufacturing"
Accelerometers (except aerospace type) manufacturing
Accidental and health reinsurance carriers
"Accidental death and dismemberment insurance carriers, direct"
"Accidental death and dismemberment insurance underwriting, direct"
Accordions and parts manufacturing
Account collection services
Accountants' (except CPAs) offices
Accountants' (except CPAs) private practices
"Accountants' (i.e., CPAs) offices, certified public"
"Accountants' (i.e., CPAs) private practices, certified public"
"Accounting (i.e., CPAs) services, certified public"
Accounting services (except CPAs)
"Accumulators, industrial pressure vessels, heavy gauge metal, manufacturing"
Acetal resins manufacturing
Acetaldehyde manufacturing
Acetate fibers and filaments manufacturing
"Acetate of lime, natural, made by distillation of wood"
Acetate spun yarns made from purchased fiber
"Acetates, not specified elsewhere by process, manufacturing"
Acetic acid manufacturing
Acetic anhydride manufacturing
Acetin manufacturing
"Acetone, natural, manufacturing"
"Acetone, synthetic, manufacturing"
"Acetylene cylinders, heavy gauge metal, manufacturing"
Acetylene manufacturing
Acetylsalicylic acid manufacturing
"Acid dyes, synthetic organic, manufacturing"
"Acid esters, not specified elsewhere by process, manufacturing"
Acid oils made in petroleum refineries
"Acidity (i.e., pH) instruments, industrial process type, manufacturing"
"Acidity (i.e., pH) measuring equipment, laboratory analysis-type, manufacturing"
Acidophilus milk manufacturing
"Acids, organic, not specified elsewhere by process, manufacturing"
Acoustical engineering consulting services
"Acoustical suspension systems, metal, manufacturing"
Acoustical system engineering design services
Acoustics testing laboratories or services
Acrolein manufacturing
Acrylate rubber manufacturing
Acrylate-butadiene rubber manufacturing
"Acrylic and modacrylic filament yarn throwing, twisting, texturizing, or winding of purchased yarn"
Acrylic fibers and filaments manufacturing
Acrylic film and unlaminated sheet (except packaging) manufacturing
Acrylic resins manufacturing
Acrylic rubber manufacturing
Acrylic spun yarns made from purchased fiber
Acrylonitrile fibers and filaments manufacturing
Acrylonitrile manufacturing
Acrylonitrile-butadiene-styrene (ABS) resins manufacturing
"Actinometers, meteorological, manufacturing"
Action figures manufacturing
Activated carbon or charcoal manufacturing
Actuarial consulting services (except insurance actuarial services)
"Actuarial services, insurance"
"Actuators, fluid power, manufacturing"
Acupuncture training
"Acyclic hydrocarbons (e.g., butene, ethylene, propene) (except acetylene) made from refined petroleum or liquid hydrocarbons"
"Adapters, bombcluster, manufacturing"
Adding machines manufacturing
Additive manufacturing machinery manufacturing
"Additive preparations for gasoline (e.g., antiknock preparations, detergents, gum inhibitors) manufacturing"
Address bar coding services
Address lists commercial printing (except screen) without publishing
Address lists screen printing without publishing
Adhesive tape (except medical) made from purchased materials
"Adhesive tape, medical, manufacturing"
"Adhesives (except asphalt, dental, gypsum base) manufacturing"
Adipic acid esters or amines manufacturing
Adipic acid manufacturing
Adiponitrile manufacturing
Adjustment agencies (except insurance)
Administrative management consulting services
Administrative management services
Administrators of private estates
Adobe bricks manufacturing
"Adrenal derivatives, uncompounded, manufacturing"
Adrenal medicinal preparations manufacturing
Adult literacy instruction
Advanced and technical ceramic products manufacturing
Advertising agencies
Advertising agency consulting services
"Advertising material (e.g., coupons, flyers, samples) direct distribution services"
Advertising material preparation services for mailing or other direct distribution
"Advertising materials (e.g., coupons, flyers) commercial printing (except screen) without publishing"
"Advertising media representatives (i.e., independent of media owners)"
"Advertising services, indoor or outdoor display"
"Advertising specialty (e.g., keychain, magnet, pen) distribution services"
"Advertising, aerial"
Aerial cameras manufacturing
Aerial geophysical surveying services
Aerial surveying (except geophysical) services
Aerial work platforms manufacturing
Aerobic dance and exercise centers
Aerobic dance and exercise instruction
Aeronautical systems and instruments manufacturing
"Aeronautical systems and instruments overhauling, conversion, or rebuilding"
Aerosol can filling on a job-order or contract basis
"Aerosol cans, light gauge metal, manufacturing"
Aerosol packaging services
Aerosol valves manufacturing
Aerospace research and development (except prototype production)
After-shave preparations manufacturing
"Aftercoolers (i.e., heat exchangers) manufacturing"
Agar culture media manufacturing
Agar-agar manufacturing
"Agencies of foreign banks (i.e., trade financing)"
"Agencies, insurance"
"Agencies, loan"
"Agencies, real estate"
"Agencies, real estate escrow"
Agents for mobile virtual network operators (MVNOs)
Agents for wireless telecommunications carriers
"Agents' offices, real estate escrow"
"Agents, real estate"
Aggregate spreaders manufacturing
Aggressins (except in-vitro) manufacturing
Agreement corporation (except international trade financing)
"Agreement corporations (i.e., international trade financing)"
"Agricultural (i.e., crop, livestock) insurance carriers, direct"
Agricultural consulting services
"Agricultural credit institutions, making loans or extending credit (except real estate, sales financing)"
"Agricultural handtools (e.g., hay forks, hoes, rakes, spades), nonpowered, manufacturing"
"Agricultural lending (except real estate, sales financing)"
Agricultural lime manufacturing
Agricultural machinery and equipment rental or leasing
Agricultural machinery and equipment repair and maintenance services
Agricultural magazines and periodicals commercial printing (except screen) without publishing
Agricultural magazines and periodicals screen printing without publishing
Agricultural property rental or leasing 
Agriculture research and development laboratories or services (except biotechnology and nanotechnology research and development)
Agrology consulting services
Agronomy consulting services
Air bag assemblies manufacturing
Air bag initiators manufacturing
Air boat building
"Air brake systems and parts, automotive, truck, and bus, manufacturing"
"Air cargo containers, light gauge metal, manufacturing"
Air circuit breakers manufacturing
"Air compressors (except air-conditioning, refrigeration) manufacturing"
Air courier services (except establishments operating under a universal service obligation)
"Air cowls, sheet metal (except stampings), manufacturing"
"Air filters, automotive, truck, and bus, manufacturing"
"Air flow controllers (except valves), air-conditioning and refrigeration, manufacturing"
Air fresheners manufacturing
Air laid nonwoven fabrics manufacturing
"Air purification equipment, portable, manufacturing"
